Informant,Response
PA22B,"a little ways, a little step"
PA22B,
PA23A,a little ways
PA23B,a little ways
PA24A,a little ways
PA24B,a little piece
PA25A,a little ways
PA25B,a little ways
PA26A,a little ways
PA26B,a little ways
PA27A,a little ways
PA27B,a little ways
PA28A,"a little piece, a little ways"
PA28A,
PA28B!,a little ways
PA29A,"a little ways, a little piece"
PA29A,
PA29B,a little 
PA29B,a little piece
PA30A,a little ways
PA30B,a little ways
PA31A,a little ways
PA31B,a little ways
PA32A,a little ways
PA32A,a little piece
PA32B,a little ways
PA32B,a little piece
PA33A,a little piece
PA33A,a little ways
PA33B,a little way
PA34A,a little piece
PA34A,a little ways
PA34B,a little ways
PA34B,a little piece
PA34C!,a little piece
PA34C!,a little ways
PA35A,a little piece
PA35B,a little ways
PA35B,a little piece
PA35C,a little piece
PA36A,a little ways
PA36A,a little piece
PA36B,a little ways
PA36B,a little piece
PA37A,a little ways
PA37A,a little piece
PA37B,a little ways
PA37B,a little piece
PA38A,a little ways
PA38A,a little piece
PA38B,a little piece
PA39A,a little piece
PA39A,a little ways
PA39B,a little ways
PA39B,a little piece
PA40A,a little piece
PA40B,a little piece
PA40B,a little ways
PA41A,a little piece
PA41A,a little ways
PA41B,a little piece
PA41B,a little ways
PA42A,a little ways
PA42A,a little piece
PA42B,a little piece
PA42B,a little ways
PA43A,a little piece
PA43B,a little piece
PA44A,a little piece
PA44A,a little way
PA44B,a little piece
PA44B,a little ways
PA45A,a little piece
PA45B,a little piece
PA45B,a little ways
PA46A,a little piece
PA46B,a little way
PA46B,a little piece
PA47A,a little piece
PA47A,a little ways
PA47B,a little ways
PA48A,a little piece
PA48B,a little ways
PA48B,a little piece
PA48C,a little ways
PA49A,a little ways
PA49A,a little piece
PA49B,a little ways
PA49B,a little piece
PA50A,a little ways
PA50A,a little piece
PA50B,a little ways
PA50B,a little piece
PA50C!,a little piece
PA51A,a little way
PA51B,a little ways
PA52A,a little piece
PA52B!,a little ways
PA52B!,a little piece
PA53A,a little ways
PA53A,a little piece
PA53B,a little piece
PA53B,a little ways
PA54A,a little piece
PA54A,a little ways
PA54B,a little ways
PA55A,a little ways
PA55A,a little piece
PA55B,a little piece
PA55B,a little ways
PA56A,a little ways
PA56A,a little ways
PA56A,a little piece
PA56B,a little ways
PA56B,a little piece
PA57A,a little piece
PA57A,a little ways
PA57B,a little ways
PA58A,a little way
PA58A,a little piece
PA58B,a little ways
PA59A,a little ways
PA59A,a little piece
PA59B,a little way
PA60A,a little ways
PA60B,a little ways
PA60B,a little piece
PA61A,a little piece
PA61A,a little ways
PA61B,a little ways
PA62A,a little ways
PA62A,a little piece
PA62B,a liitle piece
PA62B,a little ways
PA63A,a little ways
PA63A,a little piece
PA63B,a little ways
PA64A,a little ways
PA64B,a little ways
PA65A,a little ways
PA65B,a little ways
PA66A,a little ways
PA66A,a little piece
PA66B,a little ways
PA67A,a little ways
PA67A,a little piece
PA67B,a little ways
WV1!,a little way
WV1!,a little piece
WV2,a little piece
WV2,a little ways
WV3,a little ways
WV3,a little piece
WV4A,a little piece
WV4B,a little ways
WV5,a little piece
WV5,a little ways
WV6A,a little piece
WV6B,a little piece
WV6B,a little ways
WV7A,a little piece
WV7B,a little piece
WV7B,a little ways
WV8A,a little ways
WV8B,a little ways
WV9A,a little piece
WV9B,a little piece
WV10A,a little piece
WV10A,a little ways
WV10B,a little ways
WV10B,a little piece
WV10C,a little piece
WV10C,a little way
WV11A,a little ways
WV11A,a little piece
WV11B!,a little piece
WV12A,a little ways
WV12A,a little piece
WV12B,a little piece
WV13A,a little ways
WV13B,a little ways
WV14A,a little ways
WV14B,a little piece
WV14B,a little ways
WV15A,a little ways
WV15A,a little piece
WV15B,a little ways
WV15B,a little piece
WV16A,a little ways
WV16A,a little piece
WV16B,a little ways
WV16B,a little piece
WV17A,a little piece
WV17B,a little piece
WV17C,a little piece
WV17C,a little ways
WV17C,a little ways
WV18A,a little ways
WV18B,a little piece
WV18B,a little ways
WV19A,a little piece
WV19B,a little piece
WV20A,a little ways
WV20B,a little piece
WV20B,a little ways
WV21A,a little piece
WV21B,a little piece
WV22A,a little piece
WV22B,little ways
WV22B,little piece
WV23A,little ways
WV23B,little ways
WV24A,a little ways
WV24B,a little ways
WV25A,a little ways
WV25B,a little ways
WV26A,a little piece
WV26B,a little ways
WV27A,a little ways
WV27B,a little piece
WV27B,a little ways
WV28A,a little ways
WV28B,a little ways
WV28B,a little piece
WV29A,a little ways
WV29B,a little ways
WV30A,a little piece
WV30B,a little ways
WV31A,a little ways
WV31B,a little ways
WV32A,a little piece
WV32A,a little ways
WV32B,a little piece
WV33A,a little ways
WV33A,a little piece
WV33B,a little ways
WV34A,a little piece
WV34B,a little ways
WV35A,a little piece
WV35B,a little piece
WV36A,a little ways
WV36B,a little ways
WV37A,a little piece
WV37B!,a little ways
WV38A,a little ways
WV38A,a little piece
WV38B,a little piece
WV39A,a little ways
WV39B,a little way
WV39C!,a little piece
WV40A,a little piece
WV40B,a little piece
WV40B,a little ways
WV41A,a little piece
WV41A,a little ways
WV41B,a little ways
WV42A,a little ways
WV42B,a little ways
WV43A,a little ways
WV43B,a little ways
WV44A,a little ways
WV44B,a little ways
WV44B,a little piece
WV45A,a little ways
WV45B,a little ways
WV46A,a little piece
WV46A,a little ways
WV46B,a little ways
WV47A,a little ways
WV47B,a little piece
WV48A,a little ways
WV48C,a little ways
WV48D,a little ways
WV49A,a little piece
WV49B,a little piece
WV50A,a little ways
WV50A,a little piece
WV50B,a little way
WV50B,a little piece
WV51A,a little piece
WV51B,a little ways
WV51B,a little piece
WV52A,a little ways
WV52B,a little ways
WV52C!,a little way
WV52C!,a little jag
WV53A,a little ways
WV53A,a little piece
WV53B,a little way
WV53C!,a little ways
WV54A,a little piece
WV54A,a little ways
WV54B,a little piece
WV54B,a little ways
DE1A,a little piece
DE1B,a little spell
DE1B,a little piece
DE1C!,a little piece
DE2A,a little ways
DE2B,a little ways
DE2B,a little piece
DE3A,a little piece
DE3B,a little piece
DE3B,a little ways
DE3C!,a little piece
DE4,a little piece
DE5A,a little ways
DE5B,a little ways
DE5B,a little piece
DE6A,a little piece
DE6B,a little piece
MD1A,a little piece
MD1B,a little way
MD1B,a little piece
MD2A,a little piece
MD2B,a little ways
MD3A,a little piece
MD3A,a little ways
MD3B,a little piece
MD4A,a little piece
MD4A,a little ways
MD4B,a little piece
MD4B,a little ways
MD4C,a little ways
MD5A,a little piece
MD5A,a little ways
MD5B,a little ways
MD5B,a little piece
MD6A,a little ways
MD6A,a little piece
MD6B,a little ways
MD6B,a little piece
MD7A,a little ways
MD7A,a little piece
MD7B,a little piece
MD7B,a little ways
MD7C!,a little ways
MD7C!,a little piece
MD8A,a little piece
MD8A,a little ways
MD8B,a little piece
MD9N,a little way
MD9N,a little ways
MD9A,a little piece
MD9A,a little ways
MD9B,a little piece
MD9B,a little ways
MD10A,a little ways
MD10A,a little piece
MD10B,a little ways
MD10B,a little piece
MD11,a little way
MD12A,a little ways
MD12A,a little way
MD12B,a little ways
MD13A,a little ways
MD13B,a little piece
MD13C,a little ways
MD13C,a little piece
MD13D!,a little way
MD13E!,a little way
MD13E!,a little ways
MD13F!,a little ways
MD14,a little ways
MD15A,a little piece
MD15A,a little ways
MD15B,a little ways
MD16,a little ways
MD17A,a little way
MD17B,a little piece
MD18A,a little ways
MD18B,a little way
MD19A,a little ways
MD19B,a little ways
MD20A,a little ways
MD20B,a little ways
MD20C!,a little way
MD21A,a little ways
MD21B,a little ways
MD22N,a little ways
MD22M,a little ways
MD22A,a little ways
MD22B,a little ways
MD22C!,a little way
MD23A,a little ways
MD23B,a little ways
MD23C,a little ways
MD24,a little ways
MD25,a little piece
MD25,a little ways
MD26A,a little piece
MD26A,a little ways
MD27A,a little piece
MD27B,a little piece
DC1A,a little ways
DC1B!,a little way
VA1!,a little way
VA2A,a little ways
VA2B,a little ways
VA3A,a little ways
VA3B,a little ways
VA4N,a little ways
VA5A,a little ways
VA5B,a little ways
VA6A,a little ways
VA6B,a little ways
VA7A,a little ways
VA7B,a little ways
VA8A,a little ways
VA8B,a little ways
VA8C!,a little way
VA9A,a little ways
VA9B!,a little way
VA9B!,a little ways
VA10A,a little ways
VA10B,a little ways
VA11A,a little ways
VA11B,a little ways
VA12N,a little ways
VA12A,a little ways
VA12B!,a little ways
VA13A,a little ways
VA13B,a little ways
VA14A,a little ways
VA14B,a little ways
VA14C,a little way
VA15N,a little ways
VA15A,a little ways
VA15B,a little ways
VA16A,a little ways
VA16B,a little ways
VA17A,a little ways
VA17B,a little ways
VA18,a little ways
VA19A,a little ways
VA19B,a little ways
VA19C!,a little way
VA20A,a little ways
VA20B,a little ways
VA20B,a little way
VA21N,a little ways
VA21A,a little ways
VA21B,a little ways
VA22,a little ways
VA23A,a little ways
VA23B,a little ways
VA24,a little ways
VA25,a little ways
VA26A,a little ways
VA26B,a little ways
VA26C,a little way
VA27,a little ways
VA28A,a little ways
VA28B,a little way
VA29,a little ways
VA30A,a little ways
VA30B!,a little ways
VA30C!,a little way
VA30C!,a little ways
VA30D!,a little way
VA30E!,a little way
VA31A,a little ways
VA31B,a little ways
VA32!,a little way
VA33A,a little ways
VA33B,a little ways
VA34A,a little ways
VA34B,a little ways
VA35A,a little ways
VA35B,a little ways
VA36A,a little ways
VA36A,a little ways
VA36B,a little ways
VA37,a little ways
VA38,a little ways
VA39!,a little ways
VA40A,a little ways
VA40B,a little ways
VA41A,a little ways
VA41B,a little ways
VA42A,a little ways
VA42B,a little ways
VA43N,a little ways
VA43A,a little ways
VA43B,a little ways
VA44A,a little ways
VA44B,a little ways
VA45A,a little ways
VA45B,a little ways
VA46A,a little ways
VA46B!,a little way
VA46B!,a little ways
VA47,a little ways
VA48A,a little ways
VA48B,a little ways
VA49A,a little ways
VA49B,a little ways
VA50A,a little ways
VA50B,a little ways
VA51A,a little ways
VA51B,a little ways
VA52A,a little ways
VA52B,a little ways
VA52C!,a little way
VA52C!,a little ways
VA53A,a little ways
VA53B,a little piece
VA53B,a little way
VA54A,a little ways
VA54B,a little ways
VA55A,a little ways
VA55B,a little way
VA55B,a little ways
VA56A,a little ways
VA56B,a little ways
