Informant,Response
SC42B!,a little way
SC42B!,down the road a piece
SC42B!,just a step or two
SC42B!,over the hill
SC42C!,a little ways
SC42E!,a little way
SC43A,that far
SC43A,a little
SC43B,a little ways
SC43C,a little ways
SC44A,a little ways
SC44A,a little ways
SC44A,a little ways
SC44A,a little ways
SC44B,a short piece
SC44B,a little piece
SC44B,a little ways
GA1N,a little far off
GA1N,a little far off
GA1B,a little ways
GA1B,a few blocks
GA1D,a short distance
GA1E,a piece up the road
GA1E,a short piece
GA1F!,a little ways
GA1G!,a very short distance
GA1H!,a little way
GA1H!,a little ways
GA2B,a little ways
GA2B,a little piece
GA3A,a little ways
GA3A,a little ways
GA3B,a little piece
GA4N,a little ways
GA4N,a little piece
GA4N,a little ways
GA4A,a near piece
GA4B,a little ways
GA4C!,a way
GA4C!,a little way
GA5A,a little ways
GA5B,a little ways
GA5C,a little ways
GA5D!,a little ways
GA5E!,a little piece
GA6A,a little ways
GA6B!,a little ways
GA6B!,a little ways
GA7,just a little ways
GA7,just a piece
GA7,for a piece
GA8A,a little piece
GA8A,a little ways
GA8B,a little piece
GA9A,a little piece
GA9A,a short piece
GA9A,a piece
GA10A,a little ways
GA10B,a little piece
GA10B,a piece
GA11N,a little ways
GA11N,a little far
GA12B!,a little ways
GA12B!,whoop and holler
GA12B!,a short distance
GA12B!,no ways
GA13A,a little ways
GA13B!,a little way
GA13B!,"it ain't so far, sir"
GA13B!,a jump
GA13B!,a short piece
GA14A,a little ways
GA14A,a piece
GA14B,a little way
GA14B,a little ways
GA14C,down the road a piece
GA14C,a little piece
GA14C,a little ways
GA15A,a little ways
GA15B,a little way
GA16A,a short piece
GA16A,a little bit
GA16A,a little piece
GA16B,a piece
GA16B,a little ways
GA16C,short distance
GA16D!,a little piece
GA17N,a little ways
GA17,a little piece
GA17,short piece
GA18B,a piece
GA19B,a little piece
GA20A,a little piece
GA21A,a little piece
GA22A,a short distance
GA22A,a short ways
GA22B,a little ways
GA23A,a little piece
GA23C,a little ways
GA23D!,a little ways
GA23E!,a little way off
GA23E!,a little distance
GA23F!,a little bit
GA23F!,a little bit over
GA24N,a few steps
GA24A,a little ways
GA24B,a few miles
GA24B,a little ways
GA25N,a little ways
GA26,just a little piece
GA26,a way
GA27!,a short piece
GA28,two whoops and a holler
GA28,a little way
GA29A,a little ways
GA29B,a little ways
GA30A,a little piece
GA30B,a little ways
GA30B,a little piece
GA30C!,a little way
GA31,short distance
GA31,little ways
GA31,small distance
GA31,little piece
GA32,a little piece
GA32,a little ways
GA33A,a little way
GA33B,a little farther on
GA34N,a little ways
GA34A,a little ways
GA34B,a little piece
GA34B,a little ways
GA35N,a little ways
GA37N,a little ways
GA37M!,a little piece
GA37M!,a shorter distance
GA37A,a little ways
GA37A,a little ways
GA37B,a little piece
GA37B,a little ways
GA37C,a little ways
GA37D!,a little way
GA37E!,a little way
GA37E!,a short way
GA37E!,a short ways
GA37E!,a little way
GA37G!,a short ways
GA37G!,a short distance
GA37H!,a little ways
GA38,a little piece
GA38,a short distance
GA39,a little piece
GA40,a little way
GA40,a short distance
GA41,a little piece
GA41,short distance
GA42A,a little ways
GA42B,a piece
GA43,a little ways
GA44A,a little ways
GA44B,a ways
GA44B,a short ways
GA44C,a little piece
GA44C,a little ways
GA44E,a little ways
FL1,a short distance
FL1,a little ways
FL2A,a little ways
FL2B,a short distance
FL2C!,a little piece
FL2C!,a little way
FL3A,a short distance
FL3A,a little ways
FL3B!,a short distance
FL4,a little ways
FL4,a little piece
FL4,short distance
FL4,a little piece
FL5A,a piece
FL5B,a short distance
FL5B,a little ways
,
,
,
